[2025-07-31 17:31:21] [INFO] Daily bias for EURUSD: Neutral
[2025-07-31 17:31:21] [INFO] Daily bias for GBPUSD: Bearish
[2025-07-31 17:31:21] [INFO] Daily bias for XAUUSD: Bearish
[2025-07-31 17:31:21] [INFO] Daily bias for EURGBP: Neutral
[2025-07-31 17:31:21] [INFO] Daily bias for EURNZD: Neutral
[2025-07-31 17:34:32] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 1.0
[2025-07-31 17:35:03] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:35:34] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:36:05] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:36:37] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:37:09] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:37:40] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:38:11] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:38:42] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:39:13] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:39:44] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:40:16] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:40:47] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:41:18] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:41:49] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:42:21] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:42:52] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:43:23] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:43:54] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:44:26] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:44:57] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 1.0
[2025-07-31 17:45:28] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:45:59] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:46:30] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:47:03] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:47:34] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:48:05] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:48:05] [SUCCESS] Sweep confirmed on HTF for EURNZD | Type: Bearish | Score: 1.0
[2025-07-31 17:48:36] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:49:06] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:49:38] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:50:08] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:50:39] [SUCCESS] FVG found for XAUUSD: 3294.03000 - 3296.33000 | Type: Bullish | Timeframe: M3
[2025-07-31 17:51:10] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:51:41] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:52:12] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:52:44] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:53:15] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:53:46] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:54:16] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:54:47] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:55:18] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 1.0
[2025-07-31 17:55:49] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:56:20] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:56:51] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:57:23] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:57:54] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:58:25] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:58:25] [SUCCESS] Sweep confirmed on HTF for EURNZD | Type: Bearish | Score: 1.0
[2025-07-31 17:58:56] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:59:27] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 17:59:58] [SUCCESS] FVG found for XAUUSD: 3288.46000 - 3290.50000 | Type: Bullish | Timeframe: H1
[2025-07-31 18:03:04] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:03:35] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:04:05] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:04:36] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:05:07] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:05:38] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:06:09] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:06:41] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:07:12] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:07:44] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 18:08:15] [SUCCESS] FVG found for EURNZD: 1.93905 - 1.93976 | Type: Bearish | Timeframe: M3
[2025-07-31 19:06:30] [SUCCESS] Sweep confirmed on HTF for EURGBP | Type: Bullish | Score: 1.0
[2025-07-31 19:07:01] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:07:32] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:08:03] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:08:35] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:09:06] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:09:37] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:10:08] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:10:40] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:11:11] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:11:42] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:12:14] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:12:45] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:13:16] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
