[2026-04-09 19:37:19] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-09 19:37:20] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-09 19:37:21] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 08:16:11] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 08:16:12] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 08:16:13] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 08:16:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:22:25] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:32:50] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:32:51] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:32:52] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:32:53] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:27] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:28] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:29] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:30] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:30] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:31] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:32] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:33] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:34] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:34] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:35] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:36] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:38] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:38] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:39] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:40] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:41] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:42] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:42] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:43] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:44] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:45] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:46] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:46] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:47] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:48] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:49] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:35:49] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.60 | Strength: 1 touches | Level: 4477.2700 | Sweep Type: wick | Time: 2026-03-23 00:00:00
[2026-04-13 09:36:31] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:32] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:33] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:34] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:35] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:36] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:36] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:37] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:38] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:39] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:40] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:41] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:41] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:42] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:43] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:44] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:44] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:45] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:46] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:47] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:48] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:49] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:49] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:50] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:51] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:52] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:53] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:36:54] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.60 | Strength: 1 touches | Level: 4492.4300 | Sweep Type: wick | Time: 2026-03-23 16:00:00
[2026-04-13 09:40:20] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
[2026-04-13 09:40:21] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 0.75 | Strength: 2 touches | Level: 4533.2600 | Sweep Type: wick | Time: 2026-03-25 11:00:00
