[2025-11-23 03:49:13] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:00:00
[2025-11-23 03:49:13] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:06:00
[2025-11-23 03:49:13] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:12:00
[2025-11-23 03:49:13] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:18:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:24:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:30:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:36:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:42:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:48:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 17:54:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:00:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:06:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:12:00
[2025-11-23 03:49:14] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:18:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:24:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:30:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:36:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:42:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:48:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 18:54:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:00:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:06:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:12:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:18:00
[2025-11-23 03:49:15] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:24:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:30:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:36:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:42:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:48:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 19:54:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:00:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:06:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:12:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:18:00
[2025-11-23 03:49:16] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:24:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:30:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:36:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:42:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:48:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 20:54:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:00:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:06:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:12:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:18:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:24:00
[2025-11-23 03:49:17] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:30:00
[2025-11-23 03:49:18] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:36:00
[2025-11-23 03:49:18] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:42:00
[2025-11-23 03:49:18] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:48:00
[2025-11-23 03:49:18] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bearish | Score: 0.64 | Strength: 2 touches | Level: 4089.45 | Sweep Time: 2025-11-17 15:00:00 | Current Time: 2025-11-17 21:54:00
